Response ID,AGE,SEX,EDUCATION,TOTAL IUIPC (70),VUR (out of 8) ,Answers,Likert
1824,27,Female,"Some college credit,  or Associate's degree",70,5,8,4
935,27,Male,Bachelorês degree,63,5,8,4.25
1293,30,Male,"Some college credit,  or Associate's degree",68,7,8,4.75
1513,27,Female,"Some college credit,  or Associate's degree",53,6,8,4.5
646,24,Male,Bachelorês degree,43,1,8,3.25
1453,22,Male,"High school graduate, diploma or the equivalent (for example: GED)",49,3,8,4.375
1734,38,Female,Master's degree,64,6,8,4.625
2240,54,Female,"Some college credit,  or Associate's degree",65,5,8,4.125
998,20,Male,"Some college credit,  or Associate's degree",70,6,7,3.875
1769,22,Male,"High school graduate, diploma or the equivalent (for example: GED)",63,8,8,5
280,31,Male,Bachelorês degree,68,8,8,5
659,27,Male,Bachelorês degree,69,7,8,4.75
1812,34,Male,"Some college credit,  or Associate's degree",70,7,8,4.75
1142,28,Male,"Some college credit,  or Associate's degree",62,3,8,3.875
588,26,Female,Bachelorês degree,64,5,8,3.75
1756,22,Female,"Some high school, no diploma",56,3,8,3.75
1156,42,Male,"Some college credit,  or Associate's degree",70,8,8,5
2350,29,Male,Bachelorês degree,63,7,7,4.375
32,28,Female,"Some college credit,  or Associate's degree",45,1,8,3.25
178,40,Male,Bachelorês degree,55,8,8,5
214,27,Male,"High school graduate, diploma or the equivalent (for example: GED)",64,5,7,4
1524,25,Male,"Some college credit,  or Associate's degree",67,6,7,4.125
155,55,Female,Bachelorês degree,67,4,8,4.375
1937,24,Female,"Some college credit,  or Associate's degree",70,7,8,4.75
2336,31,Male,Bachelorês degree,58,6,8,4.75
1181,37,Female,"Some college credit,  or Associate's degree",66,4,8,3.75
2160,54,Female,"Some college credit,  or Associate's degree",70,4,8,3.875
461,41,Female,Master's degree,58,7,7,4.375
103,29,Male,"High school graduate, diploma or the equivalent (for example: GED)",59,6,8,4.625
1271,54,Female,"Some high school, no diploma",70,4,8,3.5
2005,23,Female,"Some college credit,  or Associate's degree",61,5,8,4
291,29,Male,Bachelorês degree,66,3,8,4
2331,28,Female,"Some college credit,  or Associate's degree",66,7,8,4.875
2270,35,Female,Bachelorês degree,50,3,8,3.375
1650,44,Female,"Some college credit,  or Associate's degree",70,8,8,5
1354,24,Male,"Some college credit,  or Associate's degree",65,4,7,3.875
2190,26,Female,"Some college credit,  or Associate's degree",64,5,8,4.375
1882,31,Female,Bachelorês degree,54,3,8,3.5
2169,33,Female,Bachelorês degree,57,4,8,3.875
1905,26,Male,"Some college credit,  or Associate's degree",56,4,8,4
1141,72,Female,Master's degree,66,7,7,4.375
931,25,Female,Bachelorês degree,54,4,8,4.125
256,26,Male,Bachelorês degree,63,8,8,5
1707,43,Male,"High school graduate, diploma or the equivalent (for example: GED)",57,3,8,4.125
2178,27,Female,"Some college credit,  or Associate's degree",69,4,8,4
2398,32,Female,Master's degree,54,3,8,3.375
965,57,Female,"Some college credit,  or Associate's degree",61,5,8,4.625
1724,64,Female,"Some college credit,  or Associate's degree",70,7,8,4.5
41,69,Male,Bachelorês degree,70,8,8,5
571,25,Male,Bachelorês degree,41,0,8,3.25
1899,24,Female,Bachelorês degree,56,3,8,3.375
1494,23,Male,Bachelorês degree,52,3,8,3.5
1434,34,Male,Bachelorês degree,65,6,8,4.75
773,26,Male,"Some college credit,  or Associate's degree",56,4,8,4.25
1279,24,Female,Bachelorês degree,52,1,7,2.25
263,26,Female,"Some college credit,  or Associate's degree",66,5,8,4.625
993,33,Male,"High school graduate, diploma or the equivalent (for example: GED)",56,5,8,3.625
1009,21,Female,"Some college credit,  or Associate's degree",40,5,8,4.375
1709,32,Male,Master's degree,65,3,6,3.125
472,19,Male,"Some college credit,  or Associate's degree",67,6,8,4.25
144,24,Male,"Some college credit,  or Associate's degree",60,0,8,3.625
948,19,Male,"Some college credit,  or Associate's degree",70,6,8,4.375
1637,18,Male,"High school graduate, diploma or the equivalent (for example: GED)",68,6,7,4.25
1101,25,Male,"Some college credit,  or Associate's degree",63,6,8,4.75
1623,20,Male,"Some college credit,  or Associate's degree",40,2,8,3.625
747,27,Male,Master's degree,67,7,8,4.875
2018,44,Male,"Some college credit,  or Associate's degree",61,7,7,4.375
1252,24,Male,"Some college credit,  or Associate's degree",48,2,8,4.125
702,25,Male,"Some college credit,  or Associate's degree",70,7,8,4.625
570,24,Female,"Some college credit,  or Associate's degree",50,5,7,3.875
72,27,Male,Bachelorês degree,60,7,8,4.875
2099,21,Male,"Some college credit,  or Associate's degree",70,7,8,4.5
2255,40,Female,Bachelorês degree,58,7,8,4.75
1432,28,Male,Bachelorês degree,46,5,8,3.875
499,29,Male,Master's degree,58,3,8,4.125
1390,36,Female,Bachelorês degree,70,8,8,5
374,20,Male,"Some college credit,  or Associate's degree",68,4,8,4
2202,21,Male,Bachelorês degree,66,4,8,3.625
614,27,Male,"Some college credit,  or Associate's degree",52,1,8,3.125
2287,35,Male,Bachelorês degree,47,4,8,3.75
1938,20,Male,"Some college credit,  or Associate's degree",43,1,8,2.75
441,22,Male,"High school graduate, diploma or the equivalent (for example: GED)",56,2,8,3.375
1292,46,Male,Bachelorês degree,66,7,8,4.875
1222,28,Female,Bachelorês degree,70,7,8,4.75
1749,30,Female,"Some college credit,  or Associate's degree",66,5,8,3.875
1985,20,Male,"Some college credit,  or Associate's degree",37,0,8,1.625
2313,19,Female,"Some college credit,  or Associate's degree",62,3,8,3
909,32,Female,"Some college credit,  or Associate's degree",59,5,8,4.375
968,25,Male,Bachelorês degree,57,4,8,4.125
1603,33,Male,Bachelorês degree,63,3,8,4
2326,62,Female,"Some college credit,  or Associate's degree",68,8,8,5
1011,30,Male,Bachelorês degree,69,5,8,4.25
349,38,Male,"Some college credit,  or Associate's degree",57,5,8,4.375
804,37,Male,Bachelorês degree,53,7,8,4.625
906,27,Female,"Some college credit,  or Associate's degree",54,4,8,4.25
582,20,Male,"Some college credit,  or Associate's degree",36,0,8,2
466,21,Female,"Some college credit,  or Associate's degree",35,3,8,3.125
2034,29,Female,Bachelorês degree,57,5,8,3.875
443,26,Male,"Some college credit,  or Associate's degree",53,4,8,4.125
687,26,Male,Bachelorês degree,48,4,8,3
137,28,Female,"Some college credit,  or Associate's degree",70,8,8,5
1930,21,Female,"Some college credit,  or Associate's degree",70,4,8,3.875
734,21,Male,"Some college credit,  or Associate's degree",55,4,8,3.875
576,31,Male,"High school graduate, diploma or the equivalent (for example: GED)",70,6,8,4.625
2201,33,Female,Bachelorês degree,68,7,8,4.875
978,48,Male,Master's degree,58,6,8,4.75
743,32,Male,"High school graduate, diploma or the equivalent (for example: GED)",48,2,8,2.625
1106,27,Female,"Some college credit,  or Associate's degree",61,4,8,3.875
2402,43,Male,Master's degree,68,7,7,4.375
1868,35,Female,,57,6,8,4.25
854,27,Male,Bachelorês degree,68,4,8,4.25
940,23,Male,"Some college credit,  or Associate's degree",55,7,8,4.875
1550,37,Male,"Some college credit,  or Associate's degree",54,5,8,3.875
867,29,Male,Master's degree,55,5,8,4.125
878,22,Male,Bachelorês degree,59,4,8,4.375
2055,29,Female,"High school graduate, diploma or the equivalent (for example: GED)",64,6,8,4.375
1522,45,Female,"Some college credit,  or Associate's degree",66,5,8,4.5
1263,38,Female,"Some college credit,  or Associate's degree",69,7,8,4.75
852,30,Male,"High school graduate, diploma or the equivalent (for example: GED)",55,5,8,4.25
672,54,Female,"High school graduate, diploma or the equivalent (for example: GED)",67,8,8,5
1615,49,Male,"High school graduate, diploma or the equivalent (for example: GED)",62,3,8,3.625
2025,30,Female,"Some college credit,  or Associate's degree",53,6,8,4.375
1095,28,Female,"Some college credit,  or Associate's degree",68,4,8,4
2354,42,Female,"Some college credit,  or Associate's degree",59,5,8,4.5
1096,30,Male,Bachelorês degree,59,6,8,4.75
1166,46,Female,Bachelorês degree,66,4,7,3.625
1406,30,Male,Bachelorês degree,64,8,8,5
343,36,Female,Bachelorês degree,64,3,8,3.875
82,69,Female,"Some college credit,  or Associate's degree",67,6,8,4.625
936,19,Male,"Some college credit,  or Associate's degree",54,5,8,4.625
1392,27,Male,"Some college credit,  or Associate's degree",70,7,8,4.75
1777,34,Female,Bachelorês degree,54,6,8,4.5
1008,28,Female,Bachelorês degree,69,8,8,5
1902,29,Female,"Some college credit,  or Associate's degree",70,5,8,4.375
2324,39,Female,Bachelorês degree,65,6,7,3.875
166,23,Female,"High school graduate, diploma or the equivalent (for example: GED)",66,6,8,4.375
1394,57,Female,"Some college credit,  or Associate's degree",59,6,8,4.75
1277,41,Female,"Some college credit,  or Associate's degree",65,3,8,4
455,26,Male,"Some college credit,  or Associate's degree",67,6,7,4.125
1107,27,Male,"Some college credit,  or Associate's degree",59,3,7,3.375
2248,52,Female,"Some college credit,  or Associate's degree",69,8,8,5
319,46,Male,"Some college credit,  or Associate's degree",67,6,8,4.75
1705,19,Male,"High school graduate, diploma or the equivalent (for example: GED)",63,6,8,4.625
417,37,Female,Bachelorês degree,66,2,8,3.75
2243,26,Male,Bachelorês degree,70,4,8,3
2390,38,Male,Bachelorês degree,68,6,8,4
2258,26,Female,Master's degree,61,3,7,3.875
20,45,Male,"Some college credit,  or Associate's degree",70,4,8,3.75
2281,44,Female,Master's degree,69,6,8,4.75
1126,28,Female,"Some college credit,  or Associate's degree",67,7,8,4.875
1957,27,Male,Bachelorês degree,70,8,8,5
1178,37,Female,"Some college credit,  or Associate's degree",70,8,8,5
758,38,Female,Bachelorês degree,57,3,8,3.875
1912,60,Female,"Some college credit,  or Associate's degree",70,8,8,5
490,27,Male,"Some college credit,  or Associate's degree",63,4,8,3.75
1180,25,Female,"Some college credit,  or Associate's degree",56,3,8,4.25
1346,30,Female,"Some college credit,  or Associate's degree",62,3,8,3.875
2374,29,Male,"Doctorate or professional degree (Ph.D., J.D., M.D., etc.)",46,0,8,3.25
855,33,Female,Bachelorês degree,70,7,8,4.875
76,27,Male,"Some college credit,  or Associate's degree",69,7,8,4.875
476,24,,"Some college credit,  or Associate's degree",47,5,8,3.5
433,25,Male,Bachelorês degree,58,5,8,4.5
2090,24,Male,Bachelorês degree,53,5,8,4.625
611,19,Male,"High school graduate, diploma or the equivalent (for example: GED)",65,5,7,3.875
1770,39,Female,"High school graduate, diploma or the equivalent (for example: GED)",70,6,8,4.75
118,26,Male,Master's degree,66,6,8,4.5
716,20,Male,"Some college credit,  or Associate's degree",45,0,8,2.5
505,52,,"Some college credit,  or Associate's degree",68,4,8,4.375
368,23,Male,"Some college credit,  or Associate's degree",55,3,7,3.625
1450,21,Female,Bachelorês degree,55,0,8,2.875
715,20,Female,"Some college credit,  or Associate's degree",56,6,8,4.75
1041,30,Male,"Some college credit,  or Associate's degree",58,7,8,4.75
1863,31,Male,"High school graduate, diploma or the equivalent (for example: GED)",64,6,8,4.75
963,29,Female,Bachelorês degree,54,3,8,3.875
193,31,Male,Bachelorês degree,70,6,8,4.375
2351,23,Female,"Some college credit,  or Associate's degree",50,8,8,5
1067,22,Male,"Some college credit,  or Associate's degree",54,3,8,4.125
238,32,Female,"Some college credit,  or Associate's degree",70,7,8,4.75
1125,28,Female,"Some high school, no diploma",64,5,8,4.125
1246,39,Female,"Doctorate or professional degree (Ph.D., J.D., M.D., etc.)",58,4,8,3.625
2305,43,Female,"Doctorate or professional degree (Ph.D., J.D., M.D., etc.)",62,6,8,4.75
1780,26,Male,Bachelorês degree,70,8,8,5
540,25,Male,Master's degree,57,5,8,4.5
1078,35,Male,Bachelorês degree,55,5,8,4.375
610,26,Male,Bachelorês degree,60,5,8,4.375
518,30,Female,Bachelorês degree,64,6,8,4.5
1240,32,Male,"Some college credit,  or Associate's degree",60,1,8,2.875
521,32,Male,"Some college credit,  or Associate's degree",47,4,8,4
229,29,Male,"Some college credit,  or Associate's degree",69,8,8,5
457,34,Male,Bachelorês degree,56,6,8,4.625
666,30,Male,"Some college credit,  or Associate's degree",58,5,8,4.25
668,29,Female,Bachelorês degree,57,5,8,4.125
745,33,Female,Bachelorês degree,70,6,8,4.375
678,25,Female,"Some college credit,  or Associate's degree",70,5,8,4.625
1038,19,Female,"High school graduate, diploma or the equivalent (for example: GED)",48,1,8,3.25
2360,26,Male,Bachelorês degree,66,5,8,4.625
1184,26,Female,Bachelorês degree,53,5,8,4.5
2033,26,Female,Bachelorês degree,49,3,8,3.625
1371,19,Female,"Some college credit,  or Associate's degree",64,5,8,4.375
1297,19,Male,"High school graduate, diploma or the equivalent (for example: GED)",62,4,8,4
1256,41,Male,Master's degree,66,7,8,4.875
612,43,Female,"Some college credit,  or Associate's degree",60,7,8,4.75
2118,45,Male,Master's degree,53,7,8,4.75
1573,27,Male,"Some college credit,  or Associate's degree",40,4,8,3.75
1670,44,Male,Master's degree,58,5,8,4.25
542,32,Male,"High school graduate, diploma or the equivalent (for example: GED)",67,5,8,4.125
1699,41,Male,Bachelorês degree,46,2,8,3.75
891,33,Male,Bachelorês degree,53,3,8,3.5
2226,30,Male,Bachelorês degree,69,7,8,4.75
2186,25,Female,Master's degree,59,3,8,3.875
1094,32,Female,"Some college credit,  or Associate's degree",70,5,8,4.25
1774,24,Male,Bachelorês degree,55,4,8,3.625
512,18,Male,"Some college credit,  or Associate's degree",58,3,8,4.125
1061,37,Male,"High school graduate, diploma or the equivalent (for example: GED)",61,6,8,4.375
2307,26,Male,"High school graduate, diploma or the equivalent (for example: GED)",40,3,7,3.125
562,38,Male,"Some college credit,  or Associate's degree",66,5,8,4
2182,48,Female,"Some college credit,  or Associate's degree",65,5,7,4
916,24,Female,Bachelorês degree,66,8,8,5
1997,27,Male,"High school graduate, diploma or the equivalent (for example: GED)",65,2,8,3.25
2283,55,Female,"Some college credit,  or Associate's degree",68,7,8,4.875
2316,42,Male,Bachelorês degree,59,8,8,5
242,51,Male,Bachelorês degree,56,8,8,5
1266,47,Female,"Some college credit,  or Associate's degree",57,5,8,3.875
209,53,Male,Bachelorês degree,63,4,8,4.375
1272,54,Female,"Some college credit,  or Associate's degree",70,6,8,4.75
436,27,Female,"Some college credit,  or Associate's degree",61,5,8,4.625
1282,28,Male,"Doctorate or professional degree (Ph.D., J.D., M.D., etc.)",61,6,8,4.5
2138,31,Female,"Some college credit,  or Associate's degree",58,8,8,5
822,30,Male,"Doctorate or professional degree (Ph.D., J.D., M.D., etc.)",52,5,8,4.625
79,32,Male,"High school graduate, diploma or the equivalent (for example: GED)",63,5,8,4.5
893,50,Female,Master's degree,66,5,7,4
353,28,Male,Bachelorês degree,55,2,8,3.25
1172,21,Male,"Some college credit,  or Associate's degree",62,3,8,4.125
1556,29,Female,"Some college credit,  or Associate's degree",69,3,8,4.375
1490,57,Female,"Some college credit,  or Associate's degree",70,6,8,4.75
894,53,Male,"Some college credit,  or Associate's degree",70,5,8,4.5
382,45,Female,Bachelorês degree,70,7,8,4.5
421,26,Male,Bachelorês degree,63,6,7,4
372,58,Female,"Some college credit,  or Associate's degree",67,7,8,4.875
116,38,Male,Bachelorês degree,68,4,8,3.875
2235,32,Male,"Some college credit,  or Associate's degree",60,4,8,3.5
1925,29,Male,"Some college credit,  or Associate's degree",63,7,8,4.75
220,25,Female,Bachelorês degree,59,5,8,4
677,25,Female,Bachelorês degree,57,4,8,4.375
813,19,Male,"Some college credit,  or Associate's degree",66,8,8,5
1939,21,Male,Bachelorês degree,36,0,8,2.875
1631,26,Female,Bachelorês degree,65,6,8,4.75
1580,22,Female,"Some college credit,  or Associate's degree",69,8,8,5
2082,53,Female,"High school graduate, diploma or the equivalent (for example: GED)",54,4,7,4
2154,36,Female,"Some college credit,  or Associate's degree",59,4,8,4.25
1092,19,Female,"High school graduate, diploma or the equivalent (for example: GED)",53,5,8,3.625
1483,21,Male,"Some college credit,  or Associate's degree",60,3,7,3.5
1185,23,Female,"Some college credit,  or Associate's degree",70,5,7,3.5
1001,31,Female,Bachelorês degree,49,8,8,5
196,32,Male,Bachelorês degree,61,5,7,4.125
1073,28,Female,"Some college credit,  or Associate's degree",65,4,8,4.125
479,28,Male,"Some college credit,  or Associate's degree",63,4,8,4.125
2145,31,Female,"Some college credit,  or Associate's degree",58,6,8,4.5
495,46,Male,"Some college credit,  or Associate's degree",53,4,5,2.875
1343,47,Male,Bachelorês degree,63,6,7,4.125
1502,25,Male,Bachelorês degree,61,7,8,4.875
2191,56,Female,Bachelorês degree,69,8,8,5
696,21,Male,"High school graduate, diploma or the equivalent (for example: GED)",66,4,8,4.25
428,23,Male,Bachelorês degree,59,3,8,4
1019,47,Female,Bachelorês degree,70,7,8,4.875
2015,20,Male,"Some college credit,  or Associate's degree",53,3,8,4.125
1690,25,Male,Bachelorês degree,68,3,7,3.625
608,19,Male,"Some college credit,  or Associate's degree",54,3,8,4.125
864,36,Male,"High school graduate, diploma or the equivalent (for example: GED)",65,7,8,4.875
946,24,Male,"Some college credit,  or Associate's degree",44,0,8,3
1712,32,Male,Master's degree,70,6,8,4.75
526,26,Female,Master's degree,64,6,8,4.625
398,32,Female,"High school graduate, diploma or the equivalent (for example: GED)",54,5,8,4.625
1132,23,Female,Bachelorês degree,60,5,8,4.375
2120,38,Male,"Some college credit,  or Associate's degree",67,5,8,4.625
59,42,Female,Bachelorês degree,70,4,7,3.5
1850,40,Male,Master's degree,65,7,8,4.875
759,24,Female,Master's degree,66,3,8,3.5
1806,33,Female,Master's degree,55,2,8,3.625
1856,26,Male,Bachelorês degree,52,3,8,4.125
75,38,Female,"High school graduate, diploma or the equivalent (for example: GED)",68,3,8,3.625
2268,34,Male,Bachelorês degree,67,7,8,4.875
1422,39,Male,Master's degree,66,5,8,4
1216,24,Female,Bachelorês degree,62,8,8,5
1430,47,Female,"Some college credit,  or Associate's degree",62,7,8,4.875
467,26,Male,Master's degree,53,6,7,4
969,22,Female,Bachelorês degree,60,6,7,4.25
170,49,Male,"High school graduate, diploma or the equivalent (for example: GED)",70,4,8,3
1658,54,Female,"Some college credit,  or Associate's degree",49,4,8,3.625
2196,27,Male,Master's degree,69,7,8,4.625
1946,20,Male,"Some college credit,  or Associate's degree",69,7,8,4.75
1221,21,Male,"Some college credit,  or Associate's degree",57,6,7,4
289,31,Female,"Doctorate or professional degree (Ph.D., J.D., M.D., etc.)",54,4,8,3.875
2092,34,Female,"Some college credit,  or Associate's degree",62,6,8,4.75
2007,32,Male,"Some college credit,  or Associate's degree",59,0,8,4
1697,43,Male,Master's degree,66,5,8,4.125
553,29,Male,Bachelorês degree,54,3,7,3.5
1851,30,Male,"Some college credit,  or Associate's degree",70,6,8,4.75
373,25,Male,"Some college credit,  or Associate's degree",59,5,8,4.125
2179,34,Male,Master's degree,66,8,8,5
419,35,Male,Bachelorês degree,51,3,8,4.25
766,25,Male,"Some college credit,  or Associate's degree",62,5,8,4.25
502,56,Male,"Some college credit,  or Associate's degree",69,5,8,4.625
321,22,Male,"Some college credit,  or Associate's degree",51,1,7,3.375
2185,28,Male,Bachelorês degree,68,7,8,4.875
1203,23,Female,"High school graduate, diploma or the equivalent (for example: GED)",49,0,8,3.375
2290,19,Female,Bachelorês degree,58,1,7,2.875
1706,37,Female,"Some college credit,  or Associate's degree",61,2,8,3.125
876,19,Female,"Some college credit,  or Associate's degree",50,4,8,4.25
2366,23,Male,Bachelorês degree,64,6,8,4.5
2175,51,Female,Master's degree,69,7,8,4.75
1602,23,Male,"Some college credit,  or Associate's degree",70,7,8,4.875
2052,42,Female,"Some college credit,  or Associate's degree",58,4,8,4
1035,25,Male,Bachelorês degree,57,4,7,3.5
1739,62,Male,"Some college credit,  or Associate's degree",68,5,8,3.875
1916,28,Male,Bachelorês degree,44,4,8,4.25
1751,47,Female,"Some college credit,  or Associate's degree",57,4,8,4
1335,40,,Bachelorês degree,69,6,8,4.375
60,28,Female,"Some college credit,  or Associate's degree",53,6,8,4.5
501,54,Male,"Some college credit,  or Associate's degree",66,3,7,3.75
558,32,Female,"Some college credit,  or Associate's degree",60,4,8,3.625
2291,43,Female,Bachelorês degree,67,1,8,3.625
861,29,Female,Bachelorês degree,65,7,8,4.875
1641,37,Male,Bachelorês degree,41,0,8,3
480,33,Male,Bachelorês degree,49,4,8,4
1289,27,Male,"Some college credit,  or Associate's degree",66,7,8,4.625
2335,32,Female,Bachelorês degree,65,7,8,4.875
1460,34,Female,Master's degree,65,5,7,4.125
875,37,Male,Bachelorês degree,57,7,8,4.875
1275,36,Male,Bachelorês degree,54,7,8,4.875
1414,66,Female,"Some college credit,  or Associate's degree",67,5,8,4.5
537,26,Male,Bachelorês degree,70,7,8,4.5
450,29,Male,Bachelorês degree,65,8,8,5
656,27,Male,Master's degree,62,2,7,3.125
286,38,Male,"Some college credit,  or Associate's degree",66,6,8,4.625
2247,37,Female,"Some college credit,  or Associate's degree",52,7,8,4.875
2264,32,Female,"Some college credit,  or Associate's degree",60,1,8,3.625
1456,48,Female,"Some college credit,  or Associate's degree",53,5,8,4.375
460,35,Female,"High school graduate, diploma or the equivalent (for example: GED)",59,7,8,4.875
859,28,Female,"Doctorate or professional degree (Ph.D., J.D., M.D., etc.)",57,4,7,3.625
2344,35,Male,"Some college credit,  or Associate's degree",65,5,8,3.75
2341,27,Female,"Some college credit,  or Associate's degree",70,8,8,5
1510,45,Female,Master's degree,62,6,8,4.75
1746,34,Male,Bachelorês degree,70,8,8,5
817,24,Male,"Some college credit,  or Associate's degree",67,6,8,4.75
739,22,Male,"Some college credit,  or Associate's degree",68,6,8,4.5
905,36,Female,Bachelorês degree,57,8,8,5
1605,27,Male,Bachelorês degree,70,8,8,5
1714,29,Female,"High school graduate, diploma or the equivalent (for example: GED)",69,4,8,4.125
260,31,Male,"Some college credit,  or Associate's degree",40,1,8,3.75
1433,27,Male,Bachelorês degree,70,6,7,4.125
1091,23,Female,"High school graduate, diploma or the equivalent (for example: GED)",63,5,8,4.5
250,29,Male,"Some college credit,  or Associate's degree",40,1,10,4.125
1418,30,Female,Bachelorês degree,69,4,8,4.5
1861,23,Male,Bachelorês degree,45,4,8,3.875
1757,27,Male,"Doctorate or professional degree (Ph.D., J.D., M.D., etc.)",61,1,8,2.625
2282,25,Male,"Some college credit,  or Associate's degree",54,8,8,5
789,20,Male,"Some college credit,  or Associate's degree",60,5,8,3.875
1910,23,Male,Bachelorês degree,63,2,7,3.375
1689,29,Female,Bachelorês degree,60,6,7,3.875
767,23,Female,Bachelorês degree,57,3,8,3.625
1435,31,Female,Master's degree,68,6,8,4.75
1970,41,Male,Master's degree,57,2,8,3.875
991,38,Male,Master's degree,56,6,8,4.375
2159,53,Female,Bachelorês degree,65,5,8,4.5
1439,46,Female,Master's degree,66,8,8,5
1171,34,Male,"Some college credit,  or Associate's degree",64,6,8,4.75
1666,37,Male,Bachelorês degree,63,3,8,3.5
2080,31,Male,Bachelorês degree,64,8,8,5
1136,23,Female,"Some college credit,  or Associate's degree",60,4,8,4.25
654,25,Female,Bachelorês degree,65,0,8,4
1962,26,Female,Bachelorês degree,47,4,8,3.875
1062,25,Male,Bachelorês degree,55,3,7,2.625
884,28,Male,"Some college credit,  or Associate's degree",67,6,8,4.25
1565,22,Male,Bachelorês degree,70,4,8,4.25
2003,30,Male,"High school graduate, diploma or the equivalent (for example: GED)",52,5,8,4.25
1826,21,Female,Bachelorês degree,60,7,8,4.875
1869,29,Male,Master's degree,62,2,7,3.25
2195,32,Male,Master's degree,59,3,8,4
1880,32,Female,"Doctorate or professional degree (Ph.D., J.D., M.D., etc.)",51,3,8,3.25
791,36,Male,Bachelorês degree,67,3,8,4
1862,37,Female,"Some college credit,  or Associate's degree",66,8,8,5
1264,32,Female,Bachelorês degree,61,4,8,3.625
974,31,Male,"Some college credit,  or Associate's degree",63,5,8,3.875
1054,40,Male,Bachelorês degree,68,8,8,5
1959,22,Male,"Some college credit,  or Associate's degree",70,6,8,4.25
1471,55,Male,"Some college credit,  or Associate's degree",53,5,8,4.625
1022,22,Male,Bachelorês degree,59,5,8,4
631,33,,"High school graduate, diploma or the equivalent (for example: GED)",62,3,8,3.25
2303,37,Male,"Some college credit,  or Associate's degree",68,5,8,4.5
1214,49,Female,"Some college credit,  or Associate's degree",61,6,8,4.5
2147,65,Female,Bachelorês degree,63,5,8,4.5
1577,18,Male,"High school graduate, diploma or the equivalent (for example: GED)",51,3,8,3.625
2170,27,Female,Bachelorês degree,68,5,8,4.25
1678,28,Male,Bachelorês degree,69,6,8,4.625
1929,25,Female,Bachelorês degree,70,5,8,4
91,62,Male,Bachelorês degree,70,6,8,4.375
1375,42,Female,Master's degree,68,5,8,4.25
44,33,Female,Bachelorês degree,70,4,8,4
57,31,Male,"High school graduate, diploma or the equivalent (for example: GED)",61,5,8,3.75
663,30,Female,Bachelorês degree,54,2,8,3.375
2028,26,Male,"High school graduate, diploma or the equivalent (for example: GED)",66,4,8,4.375
1004,28,Female,Bachelorês degree,69,3,8,4.25
71,44,Male,Master's degree,67,4,8,3.75
1254,51,Male,"High school graduate, diploma or the equivalent (for example: GED)",70,5,8,3.875
1303,35,Male,"Some college credit,  or Associate's degree",58,1,8,3.125
1640,32,Female,"Some college credit,  or Associate's degree",65,5,8,3.875
642,24,Female,Bachelorês degree,69,8,8,5
126,48,Male,"Some college credit,  or Associate's degree",43,3,8,2.5
481,26,Male,Bachelorês degree,67,6,7,4
927,46,Male,Bachelorês degree,47,6,8,4
1205,58,Female,Bachelorês degree,67,7,8,4.75
2320,19,Male,"High school graduate, diploma or the equivalent (for example: GED)",58,3,8,3.5
473,28,Male,Bachelorês degree,64,5,8,4.5
1787,36,Male,"Some college credit,  or Associate's degree",68,6,8,4.5
1619,22,Male,"Some college credit,  or Associate's degree",64,4,8,4
966,29,Male,"Some college credit,  or Associate's degree",64,6,8,4.125
2373,20,Male,"Some college credit,  or Associate's degree",56,0,8,3.5
1163,24,Female,"Some college credit,  or Associate's degree",62,7,8,4.875
699,25,Female,Bachelorês degree,63,3,8,3.375
1017,25,Male,"High school graduate, diploma or the equivalent (for example: GED)",60,6,8,4.625
2075,21,Male,"Some college credit,  or Associate's degree",63,8,8,5
300,23,Male,"Some college credit,  or Associate's degree",70,1,7,2.5
1064,24,Other,Master's degree,70,8,8,5
120,30,Male,Bachelorês degree,62,3,7,3.625
1049,48,Female,"Some college credit,  or Associate's degree",59,6,8,4.75
1440,29,Male,"Some college credit,  or Associate's degree",48,5,8,3.5
1229,24,Male,Bachelorês degree,66,6,8,4.625
1360,21,Female,"Some college credit,  or Associate's degree",62,7,8,4.875
1217,21,Female,"High school graduate, diploma or the equivalent (for example: GED)",62,6,8,4.5
430,38,Male,Bachelorês degree,52,1,8,2.75
1945,24,Male,Bachelorês degree,39,2,8,3.625
1421,51,Female,Bachelorês degree,51,4,8,3.75
792,29,Male,Bachelorês degree,66,6,8,4.75
1518,23,Male,Bachelorês degree,48,7,8,4.875
121,34,Male,Master's degree,65,4,8,3.875
485,27,Male,"Some college credit,  or Associate's degree",48,3,8,4
1858,23,Female,Bachelorês degree,62,5,7,4
413,26,Male,"Some college credit,  or Associate's degree",49,7,8,4.875
1327,27,Female,Bachelorês degree,65,6,7,4.25
1296,36,Male,Bachelorês degree,68,4,8,4
1700,49,Female,Bachelorês degree,58,0,8,3
661,31,Male,Bachelorês degree,53,6,8,4.5
1377,39,Female,"Some college credit,  or Associate's degree",63,7,8,4.75
1416,24,Female,Bachelorês degree,63,6,8,4.625
470,23,Male,"Some college credit,  or Associate's degree",66,4,8,4.125
119,19,Female,"Some college credit,  or Associate's degree",52,3,7,3.25
547,34,Female,"High school graduate, diploma or the equivalent (for example: GED)",70,4,8,3.875
507,25,Female,Bachelorês degree,70,6,8,4.125
2216,35,Female,"Some college credit,  or Associate's degree",64,3,8,3.875
943,45,Male,Bachelorês degree,69,7,8,4.5
2142,28,Female,"Some college credit,  or Associate's degree",64,7,8,4.875
1888,34,Male,Bachelorês degree,62,7,8,4.875
